Example,Time (days),Filter,Magnitude,Uncertainty
3,2.085714285714286,ztfr,21.948044,0.33595106
3,2.085714285714286,ztfi,21.832304,0.30782428
3,2.2842857142857143,ztfg,23.457298,0.3031744
3,2.2842857142857143,ztfr,22.502872,0.3219349
3,2.2842857142857143,ztfi,21.943161,0.31974307
3,2.4828571428571427,ztfg,23.756346,0.31890276
3,2.4828571428571427,ztfr,22.44771,0.32738012
3,2.4828571428571427,ztfi,22.192253,0.32245046
3,2.6814285714285715,ztfg,23.873924,0.31887096
3,2.6814285714285715,ztfr,22.776733,0.3262826
3,2.6814285714285715,ztfi,22.342373,0.32646033
3,2.88,ztfg,24.262655,0.3281718
3,2.88,ztfr,22.85357,0.33626187
3,2.88,ztfi,22.651867,0.32470408
3,3.0785714285714287,ztfg,24.686424,0.33270624
3,3.0785714285714287,ztfr,23.234623,0.33378977
3,3.0785714285714287,ztfi,22.5964,0.322794
3,3.277142857142857,ztfg,24.785194,0.33955023
3,3.277142857142857,ztfr,23.373987,0.32839707
3,3.277142857142857,ztfi,22.575115,0.33946592
3,3.4757142857142855,ztfg,25.08195,0.33994415
3,3.4757142857142855,ztfr,23.471762,0.32611957
3,3.4757142857142855,ztfi,22.967754,0.33962366
3,3.6742857142857144,ztfg,25.11754,0.34019324
3,3.6742857142857144,ztfr,23.769304,0.3291272
3,3.6742857142857144,ztfi,22.866096,0.33416572
3,3.8728571428571428,ztfg,25.641155,0.32619202
3,3.8728571428571428,ztfr,23.922039,0.3253719
3,3.8728571428571428,ztfi,23.1866,0.33781415
3,4.071428571428571,ztfg,25.90788,0.34895468
3,4.071428571428571,ztfr,24.16659,0.3326881
3,4.071428571428571,ztfi,23.402552,0.33404985
3,4.27,ztfg,26.0362,0.34175727
3,4.27,ztfr,24.257765,0.3270926
3,4.27,ztfi,23.163626,0.3506562
3,4.468571428571428,ztfg,26.351439,0.34019694
3,4.468571428571428,ztfr,24.307974,0.33481315
3,4.468571428571428,ztfi,23.59847,0.34518147
3,4.667142857142856,ztfg,26.210535,0.34923708
3,4.667142857142856,ztfr,24.61041,0.3307472
3,4.667142857142856,ztfi,23.629942,0.347564
3,4.865714285714285,ztfg,26.46852,0.34167016
3,4.865714285714285,ztfr,24.562523,0.33654794
3,4.865714285714285,ztfi,23.831877,0.34014502
3,5.064285714285714,ztfg,26.844109,0.34784365
3,5.064285714285714,ztfr,25.032478,0.31419623
3,5.064285714285714,ztfi,24.099997,0.3514403
3,5.2628571428571425,ztfg,26.893713,0.33640695
3,5.2628571428571425,ztfr,25.055115,0.33745906
3,5.2628571428571425,ztfi,23.943764,0.34557676
3,5.461428571428571,ztfg,27.213436,0.32963932
3,5.461428571428571,ztfr,25.258305,0.3294449
3,5.461428571428571,ztfi,23.943811,0.35416314
3,5.659999999999999,ztfg,27.30132,0.33233097
3,5.659999999999999,ztfr,25.328577,0.3305488
3,5.659999999999999,ztfi,24.149736,0.34174493
3,5.858571428571428,ztfg,27.368881,0.3329891
3,5.858571428571428,ztfr,25.281229,0.33210334
3,5.858571428571428,ztfi,24.390417,0.34578615
